artist_name,track_name,track_id,popularity
Elvis Costello & The Attractions,You Belong To Me - 2021 Remaster,7LjcmjjxyEumIx8AOBVUij,32
Doja Cat,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,89
Tom Staar,Glow (Mixed),19GztuIXjGf8K6XRAQQNMB,44
Kanye West,Praise God,0WSEq9Ko4kFPt8yo3ICd6T,88
Armin van Buuren,Tell Me Why (Mixed),1ibtFYUPdfQADmoQRN7BBy,44
Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,94
SLANDER,Love Is Gone (Mixed) - Armin van Buuren Remix,39N0x2bHHkTqTUiI4iYOBl,44
ACRAZE,Do It To It,20on25jryn53hWghthWWW3,96
Kyau & Albert,Outside 21 (Mixed),5mNNer74d2BhrpIt8RBo9C,44
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,92
Super8 & Tab,September (Mixed),4xCNx0sF3LNqzWkkBNNxTI,43
Sleepy Hallow,2055,4XvcHTUfIlWfyJTRG0aqlo,86
Patrik Humann,Love Again (Mixed) - Beatsole Remix,0Gf5nk5XdvOVlKkLvgNY1Z,44
Giveon,For Tonight,61Emqg95O9zo1GNOcyxq4Y,85
Andrew Rayel,Silver Lining (Mixed) - Mark Sixma Remix,0geL3xMuZ2iiwHg2jeoWoW,44
Olivia Rodrigo,favorite crime,5JCoSi02qi3jJeHdZXMmR8,88
Pepper Coyote,"No Conventions This Year, Pt. 2: July 2020 - January 2021",25ygYDbBsCJW12P87UFb8z,18
Emmy Meli,I AM WOMAN,3nOz1U41SZZ0N3fuUWr9nb,89
Incognito,You Are In My System,2kSStoNv9O3SLvOXebvuVt,42
Kodak Black,Love & War,1WGmhglF1ghRiHsx4YUq86,82
Elvis Costello & The Attractions,Hand In Hand - 2021 Remaster,0U9ZdBYiBK6pstkX5e70Yj,31
Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,85
Ahmed Helmy,I'm The Future (Mixed),6PVcNY5Ffsm7q2NLmiXVl2,44
A Boogie Wit da Hoodie,Man in the Mirror,7uLFOXgLrS90tEYPO1DGXy,83
Elvis Costello & The Attractions,Living In Paradise - 2021 Remaster,3EWaYA9cYxeUHMaDMWqi0K,31
Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,80
Shane 54,Panic Attack (Mixed),1IrUnGFXhSsY7RwCgULNRf,43
Lil Nas X,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,90
Rub!k,Everlast (Mixed),6DCMczgZOwnWjAnTZZAYoZ,43
Tiësto,The Motto,18asYwWugKjjsihZ0YvRxO,94
Fergie,Level Up (Mixed),3rKlJ6zHZf23MoN94Gnw3l,43
24kGoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,89
Orjan Nilsen,Volt (Mixed),5ZNKVdPiM0BMYQz9uxIbTm,43
Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,80
Saliva,Spyhunter - 2021 Version,646K2dKvCr8Nqy3XaSRHHM,29
Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",4yNoUQkYf1QF8iYlEzNynH,81
Dim3nsion,Shoganai (Mixed),31AbPUTdqaQjno37HauG4K,43
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),09gysnJpfQ3ublBmJDfcEC,89
Gareth Emery,Calling Home (Mixed),4KUIxvCDoVtLgevugG95Av,43
Polo G,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,83
Omnia,Paradise (Mixed),2gjhb3tnVbOvQN4trmBRZi,42
Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,85
Ahmed Helmy,King's Future (Mixed),1hCwFvKvWSm2vPpMzxIeNH,43
